id,station_name,data_source,lat,lon,http_link,host
-,Perpignan,MN6,42.733,2.867,/FRA_Perpignan_MN6.zip,MN6
-,Poitiers_Biard,MN6,46.58,0.31,/FRA_Poitiers_Biard_MN6.zip,MN6
-,Rouen_Boos,MN6,49.38,1.18,/FRA_Rouen_Boos_MN6.zip,MN6
-,Rouen,MN6,49.43,1.08,/FRA_Rouen_MN6.zip,MN6
-,Saint-Pierre-d&#39;Oleran,MN6,45.95,-1.31,/FRA_Saint-Pierre-d&#39;Oleran_MN6.zip,MN6
-,Saint_Bres_Gard,MN6,44.278,4.198,/FRA_Saint_Bres_Gard_MN6.zip,MN6
-,Saint_Girons,MN6,43,1.1,/FRA_Saint_Girons_MN6.zip,MN6
-,Tarbes,MN6,43.23,-0.0667,/FRA_Tarbes_MN6.zip,MN6
-,Thionville,MN6,49.37,6.13,/FRA_Thionville_MN6.zip,MN6
-,Toulouse,MN6,43.633,1.367,/FRA_Toulouse_MN6.zip,MN6
-,Vinon_sur_Verdon,MN6,43.733,5.782,/FRA_Vinon_sur_Verdon_MN6.zip,MN6
-,Birmingham-Elmdon,MN6,52.45,-1.733,/GBR_Birmingham-Elmdon_MN6.zip,MN6
-,Carlisle,MN6,54.93,-2.96,/GBR_Carlisle_MN6.zip,MN6
-,Ebbw_Vale_Wales,MN6,51.781,-3.206,/GBR_Ebbw_Vale_Wales_MN6.zip,MN6
-,Edinburgh-Turnhouse,MN6,55.95,-3.35,/GBR_Edinburgh-Turnhouse_MN6.zip,MN6
-,Lincoln,MN6,53.23,-0.54,/GBR_Lincoln_MN6.zip,MN6
-,Liverpool_AP,MN6,53.33,-2.85,/GBR_Liverpool_AP_MN6.zip,MN6
-,Liverpool,MN6,53.42,-2.92,/GBR_Liverpool_MN6.zip,MN6
-,Manchester-Ringway,MN6,53.35,-2.267,/GBR_Manchester-Ringway_MN6.zip,MN6
-,Sheffield_South_Yorkshire,MN6,53.38,-1.5,/GBR_Sheffield_South_Yorkshire_MN6.zip,MN6
-,SouthSomerset_MN51,MN6,50.95,-2.65,/GBR_SouthSomerset_MN51.zip,MN6
-,Basse_Terre,MN6,16,-61.717,/GLP_Basse_Terre_MN6.zip,MN6
-,Le_Raizet,MN6,16.267,-61.517,/GLP_Le_Raizet_MN6.zip,MN6
-,Akoumia_Crete,MN6,35.164,24.583,/GRC_Akoumia_Crete_MN6.zip,MN6
-,Arta,MN6,39.162,20.985,/GRC_Arta_MN6.zip,MN6
-,Farrai,MN6,38.094,21.721,/GRC_Farrai_MN6.zip,MN6
-,Florina,MN6,40.78,21.407,/GRC_Florina_MN6.zip,MN6
-,Iraklion,MN6,35.33,25.183,/GRC_Iraklion_MN6.zip,MN6
-,Kastoria_Airport,MN6,40.45,21.28,/GRC_Kastoria_Airport_MN6.zip,MN6
-,Kerkyra,MN6,39.62,19.917,/GRC_Kerkyra_MN6.zip,MN6
-,Kilkis,MN6,40.992,22.871,/GRC_Kilkis_MN6.zip,MN6
-,Kozani,MN6,40.3,21.78,/GRC_Kozani_MN6.zip,MN6
-,Limnos_Isl,MN6,39.917,25.233,/GRC_Limnos_Isl_MN6.zip,MN6
-,Paros,MN6,37.119,25.183,/GRC_Paros_MN6.zip,MN6
-,Patrai,MN6,38.25,21.733,/GRC_Patrai_MN6.zip,MN6
-,Petres-Rethimnon_Crete,MN6,35.351,24.344,/GRC_Petres-Rethimnon_Crete_MN6.zip,MN6
-,Rhodos,MN6,36.4,28.083,/GRC_Rhodos_MN6.zip,MN6
-,Samos_AP,MN6,37.7,26.917,/GRC_Samos_AP_MN6.zip,MN6
-,Souda-Khania,MN6,35.48,24.117,/GRC_Souda-Khania_MN6.zip,MN6
-,Dubrovnik-Gorica,MN6,42.65,18.08,/HRV_Dubrovnik-Gorica_MN6.zip,MN6
-,Dubrovnik-Lilipi,MN6,42.56,18.26,/HRV_Dubrovnik-Lilipi_MN6.zip,MN6
-,Karlovac,MN6,45.5,15.55,/HRV_Karlovac_MN6.zip,MN6
-,Rovinj,MN6,45.078,13.639,/HRV_Rovinj_MN6.zip,MN6
-,Zadar-Zemunik,MN6,44.1,15.37,/HRV_Zadar-Zemunik_MN6.zip,MN6
-,Zagreb-Pleso,MN6,45.73,16.06,/HRV_Zagreb-Pleso_MN6.zip,MN6
-,Budapest-Ferihegy,MN6,47.43,19.26,/HUN_Budapest-Ferihegy_MN6.zip,MN6
-,Budapest-Lorinc,MN6,47.433,19.183,/HUN_Budapest-Lorinc_MN6.zip,MN6
-,Bandung,MN6,-6.95,107.57,/IDN_Bandung_MN6.zip,MN6
-,Depok,MN6,-6.395,106.806,/IDN_Depok_MN6.zip,MN6
-,DTM_Universitas_Indonesia,MN6,-6.363,106.824,/IDN_DTM_Universitas_Indonesia_MN6.zip,MN6
-,Jakarta,MN6,-6.13,106.75,/IDN_Jakarta_MN6.zip,MN6
-,Makassar,MN6,-5.13,119.49,/IDN_Makassar_MN6.zip,MN6
-,Puncak-Bogor,MN6,-6.7,106.93,/IDN_Puncak-Bogor_MN6.zip,MN6
-,Surakarta,MN6,-7.569,110.817,/IDN_Surakarta_MN6.zip,MN6
-,Tangaray GCI,MN6,-6.298,106.668,/IDN_Tangaray GCI_MN6.zip,MN6
-,Ahmedabad,MN6,23.07,72.633,/IND_Ahmedabad_MN6.zip,MN6
-,Ajmer,MN6,26.48,74.67,/IND_Ajmer_MN6.zip,MN6
-,Bhuj-Rudramata_AFB,MN6,23.25,69.66,/IND_Bhuj-Rudramata_AFB_MN6.zip,MN6
-,Bidar,MN6,17.908,77.487,/IND_Bidar_MN6.zip,MN6
-,Coimbatore,MN6,11.03,77.05,/IND_Coimbatore_MN6.zip,MN6
-,Gurgaon,MN6,28.45,77.02,/IND_Gurgaon_MN6.zip,MN6
-,Itanagar,MN6,27.1,93.62,/IND_Itanagar_MN6.zip,MN6
-,Jamshedpur-Beldih_Golf_Course,MN6,22.81,86.18,/IND_Jamshedpur-Beldih_Golf_Course_MN6.zip,MN6
-,Kochi,MN6,9.94,76.26,/IND_Kochi_MN6.zip,MN6
-,Mysore,MN6,12.3,76.62,/IND_Mysore_MN6.zip,MN6
-,Nalagrah,MN6,31.04,76.7186,/IND_Nalagrah_MN6.zip,MN6
-,Rohtak,MN6,28.9,76.63,/IND_Rohtak_MN6.zip,MN6
-,Salem,MN6,11.67,78.18,/IND_Salem_MN6.zip,MN6
-,Srinagar,MN6,34.083,74.833,/IND_Srinagar_MN6.zip,MN6
-,Uttarkhand,MN6,30.33,78.06,/IND_Uttarkhand_MN6.zip,MN6
-,Shannon_AP,MN6,52.7,-8.917,/IRL_Shannon_AP_MN6.zip,MN6
-,Bandar_Abbas,MN6,27.22,56.367,/IRN_Bandar_Abbas_MN6.zip,MN6
-,Esfahan,MN6,32.62,51.667,/IRN_Esfahan_MN6.zip,MN6
-,Hamedan_Nowjeh,MN6,35.2,48.683,/IRN_Hamedan_Nowjeh_MN6.zip,MN6
-,Hashtgerd,MN6,35.99,50.66,/IRN_Hashtgerd_MN6.zip,MN6
-,Karaj-Keshavarzi,MN6,35.8,50.97,/IRN_Karaj-Keshavarzi_MN6.zip,MN6
-,Kerman,MN6,30.25,56.967,/IRN_Kerman_MN6.zip,MN6
-,Oroomieh,MN6,37.53,45.083,/IRN_Oroomieh_MN6.zip,MN6
-,Shahroud,MN6,36.42,55.033,/IRN_Shahroud_MN6.zip,MN6
-,Shamsabad_Industrial_City,MN6,35.352,51.219,/IRN_Shamsabad_Industrial_City_MN6.zip,MN6
-,Shiraz,MN6,29.55,52.6,/IRN_Shiraz_MN6.zip,MN6
-,Tabriz,MN6,38.13,46.283,/IRN_Tabriz_MN6.zip,MN6
-,Baghdad,MN6,33.33,44.43,/IRQ_Baghdad_MN6.zip,MN6
-,Basra,MN6,30.5,47.83,/IRQ_Basra_MN6.zip,MN6
-,Duhok_Dahuk,MN6,37.104,43.831,/IRQ_Duhok_Dahuk_MN6.zip,MN6
-,Erbil,MN6,36.2,44.02,/IRQ_Erbil_MN6.zip,MN6
-,Mosul,MN6,36.35,43.13,/IRQ_Mosul_MN6.zip,MN6
-,Nassirya,MN6,31.08,46.23,/IRQ_Nassirya_MN6.zip,MN6
-,Ashalim,MN6,30.965,34.702,/ISR_Ashalim_MN6.zip,MN6
-,Beer-Sheva_Teyman,MN6,31.23,34.783,/ISR_Beer-Sheva_Teyman_MN6.zip,MN6
-,Ben_Gurion_AP,MN6,32,34.9,/ISR_Ben_Gurion_AP_MN6.zip,MN6
-,Eilat,MN6,29.55,34.95,/ISR_Eilat_MN6.zip,MN6
-,Tel_Aviv-Yafo,MN6,32.08,34.77,/ISR_Tel_Aviv-Yafo_MN6.zip,MN6
-,Andria,MN6,41.23,16.2917,/ITA_Andria_MN6.zip,MN6
-,Aviano_AFB,MN6,46.03,12.6,/ITA_Aviano_AFB_MN6.zip,MN6
